aphiaID,scientificName,n_events
248148,Pedinella,10
254439,Closterium acutum subsp. acutum,10
601058,Siderocelis,10
679262,Chaetoceros distans var. subsecunda,10
109509,Cladopyxis,9
115075,Meringosphaera,9
115129,Chrysochromulina spinifera,9
149324,Biddulphia rhombus,9
156509,Ceratium arcticum,9
163054,Chaetoceros didymus var. protuberans,9
163645,Entomoneis ornata,9
248119,Epipyxis,9
567048,Commation,9
601613,Eutetramorus,9
615516,Sclerodinium calyptroglyphe,9
984107,Cyclotella comta f. radiosa,9
103990,Pseudobodo,8
109718,Amphidinium acutissimum,8
146616,Gomphosphaerioideae,8
146714,Anabaena torulosa,8
149026,Epithemia,8
149339,Grammatophora oceanica,8
149622,Chaetoceros cinctus,8
156568,Pinnularia distans,8
156644,Rhizosolenia faeroensis,8
464448,Bellerochea polymorpha,8
572067,Paramastix conifera,8
573582,Rhizosolenia phuketensis,8
641580,Plagioselmis lacustris,8
109487,Pronoctiluca,7
109819,Gymnodinium ostenfeldii,7
110035,Gonyaulax polygramma,7
110300,Prorocentrum gracile,7
148953,Asterionella,7
148963,Odontella,7
163934,Protoperidinium curvipes,7
178734,Chlorogonium,7
345461,Chrysamoeba,7
409591,Coelastrum cambricum,7
577680,Staurodesmus,7
600926,Goniochloris,7
601042,Dichotomococcus,7
602895,Granulocystis,7
623339,Protoperidinium bolmonense,7
109490,Nematodinium,6
109491,Warnowia,6
109544,Peridiniopsis,6
109766,Cochlodinium helicoides,6
109859,Gyrodinium lachryma,6
110220,Protoperidinium excentricum,6
110301,Prorocentrum lima,6
149072,Skeletonemaceae,6
149224,Rhizosolenia stolterfothii,6
149453,Navicula radiosa,6
156613,Chaetoceros ingolfianus,6
157076,Rhabdonema arcuatum,6
163388,Eupodiscus tesselatus,6
164053,Pyrocystis lunula,6
178946,Quadrigula,6
180213,Synedra crotonensis,6
180420,Meridion circulare var. circulare,6
196830,Cystodinium,6
233620,Heterocapsa niei,6
345485,Mediopyxis helysia,6
391216,Trochiscia dictyon,6
558965,Sphaeropleales,6
577860,Gloeotila,6
1340355,Coronia undulata,6
104003,Bicosoeca planctonica,5
104015,Pseudobodo tremulans,5
109555,Pyrophacus,5
109791,Gymnodinium elongatum,5
110039,Gonyaulax scrippsae,5
134527,Cymbomonas,5
137284,Chrysosphaerella,5
144193,Stichococcus,5
149110,Corethron criophilum,5
149232,Navicula membranacea,5
149402,Eunotia,5
149566,Rhopalodia gibba,5
156533,Achnanthes longipes,5
157059,Tabularia,5
157084,Lyngbya aestuarii,5
157430,Eucampia groenlandica,5
160597,Pedinellales,5
175965,Staurosirella pinnata var. pinnata,5
177518,Oscillatoria sancta,5
232921,Protoperidinium globulus,5
233632,Oblea baculifera,5
345375,Ceratium tripos var. atlanticum,5
547692,Pyramimonas orientalis,5
576265,Gymnodinium wulffii,5
577667,Euastrum,5
578239,Monomastix,5
602721,Prochlorothrix,5
668985,Pinnularia ovalis,5
841263,Tripos minutus,5
978230,Rhizosolenia robusta var. robusta,5
985896,Pleurosigma strigilis f. strigilis,5
109662,Dinophysis tripos,4
115128,Chrysochromulina pringsheimii,4
134533,Micromonas,4
146544,Chroococcaceae,4
146602,Gloeocapsa,4
148956,Asterionella kariana,4
148980,Porosira,4
149266,Coscinodiscus curvatulus,4
149289,Chaetoceros costatus,4
149488,Caloneis,4
149493,Gyrosigma balticum,4
